"AccountId","Region","ResourceType","ComplianceStatus","NoncompliantKeys","KeysWithNoncompliantValues","ResourceARN","Tags","LastUpdated","PolicyLastUpdated"
"111111111111","ap-northeast-1","ec2:instance","true","","","arn:aws:ec2:ap-northeast-1:111111111111:instance/i-XXX000XXX000XXX000XXX00056","{ Name=test-for-nocompliant-configservice-required-tags }","2021-01-XXX00019:10:XXX000","2020-12-XXX00005:38:XXX000"
"222222222222","us-west-2","cloudformation:stack","true","","","arn:aws:cloudformation:us-west-2:222222222222:stack/avm-baseline-stack/XXX00080-cb05-XXX000-XXX00005-XXX0004","{ DeployDate=21/07/2020, ManagedResource=True }","2021-01-XXX00019:50:XXX000","2020-12-XXX00005:38:XXX000"
"111111111111","us-west-2","cloudformation:stack","true","","","arn:aws:cloudformation:us-west-2:111111111111:stack/avm-baseline-stack/e4931540-XXX0000-XXX000-XXX000-XXX000XXX000642","{ DeployDate=15/04/2020, ManagedResource=True }","2021-01-XXX00019:50:XXX000","2020-12-XXX00005:38:XXX000"
"111111111111","us-east-1","ec2:volume","true","","","arn:aws:ec2:us-east-1:111111111111:volume/vol-XXX000XXX000XXX00031880","{ Name=test-for-noncompliant }","2021-01-XXX00018:50:XXX000","2020-12-XXX00005:38:XXX000"
"111111111111","us-west-2","catalog:portfolio","true","","","arn:aws:catalog:us-west-2:111111111111:portfolio/port-ucnwmsgaXXX00074","{ DeployDate=15/04/2020, ManagedResource=True }","2021-01-XXX00019:50:XXX000","2020-12-XXX00005:38:XXX000"
"111111111111","us-west-2","ec2:subnet","true","","","arn:aws:ec2:us-west-2:111111111111:subnet/subnet-XXX000XXX000XXX000XXX000328","{ Name=fdjks\ ;fjsadfja;j }","2021-01-XXX00019:50:XXX000","2020-12-XXX00005:38:XXX000"
"111111111111","us-west-2","ec2:vpc","true","","","arn:aws:ec2:us-west-2:111111111111:vpc/vpc-XXX000XXX000XXX000XXX000XXX000","{ Name=fdsjafjsa; }","2021-01-XXX00019:50:XXX000","2020-12-XXX00005:38:XXX000"
"111111111111","us-west-2","catalog:portfolio","true","","","arn:aws:catalog:us-west-2:111111111111:portfolio/port-habclddhqwpXXX000","{ DeployDate=15/04/2020, ManagedResource=True }","2021-01-XXX00019:50:XXX000","2020-12-XXX00005:38:XXX000"
"111111111111","us-east-1","ec2:subnet","true","","","arn:aws:ec2:us-east-1:111111111111:subnet/subnet-XXX000XXX000XXX000XXX000XXX000XXX000","{ Name=Public\ subnet }","2021-01-XXX00018:50:XXX000","2020-12-XXX00005:38:XXX000"
"111111111111","us-east-1","ec2:volume","true","","","arn:aws:ec2:us-east-1:111111111111:volume/vol-XXX000XXX0005806036","{ Name=test-for-noncompliant }","2021-01-XXX00018:50:XXX000","2020-12-XXX00005:38:XXX000"
"111111111111","us-east-1","ec2:instance","false","","mycompany:is-sensitive","arn:aws:ec2:us-east-1:111111111111:instance/i-XXX000XXX000XXX000XXX000XXX000XXX000","{ Name=test-for-noncompliant-value-tag-policies, mycompany:is-sensitive=invalid-value }","2021-01-XXX00018:50:XXX000","2020-12-XXX00005:38:XXX000"
"111111111111","us-east-1","ec2:instance","true","","","arn:aws:ec2:us-east-1:111111111111:instance/i-XXX000XXX000XXX000XXX000XXX000XXX000","{ Name=test-for-noncompliant-configservice-required-tags }","2021-01-XXX00018:50:XXX000","2020-12-XXX00005:38:XXX000"
